date,avg_block_size,cost_per_tx,dificultad,dificultad_btc,fees_total_btc,hashrate,hashrate_btc,ingresos_mineros_btc,market_cap,mempool_size,miners_revenue_usd,n_unique_addresses,precio_btc,total_btc_sent,trade_volume_exchange,transacciones_btc,transacciones_dia,transacciones_segundo,efficiency_j_th,elec_cost_kwh,attack_hourly_cost_usd
2015-02-25,0.355795748427673,9.65024049238027,46684376316.8603,46684376316.8603,15.23357961,362028.097735547,362028.097735547,1173922.80517658,3329690952.4375,21995935.986486487,1173922.80517658,193898.0,239.94,13877181.597222222,1237085.0514,105394.0,105394.0,2.322569444444444,417.9835390946502,0.0683,10335.277952601096
2015-02-26,0.364037306666667,8.93347032609365,46684376316.8603,46684376316.8603,14.09722225,334179.78252512,334179.78252512,1039087.66750926,3303267814.602837,21995935.986486487,1039087.66750926,190948.0,237.97,13881026.241134752,906089.8126,100817.0,100817.0,2.322569444444444,416.91358024691357,0.0683,9515.835318224032
2015-02-27,0.375608782894737,9.14485965377962,46684376316.8603,46684376316.8603,14.39065266,366669.483603951,366669.483603951,1068531.12624588,3285012340.796099,21995935.986486487,1068531.12624588,198801.0,236.59,13884831.737588653,1297764.7611,101474.0,101474.0,2.322569444444444,415.843621399177,0.0683,10414.190432228983
2015-02-28,0.442106929577465,10.358981558725,46684376316.8603,46684376316.8603,13.49989157,313293.5461173,313293.5461173,1138555.66311946,3501442633.6511626,21995935.986486487,1138555.66311946,238945.0,252.11,13888551.162790697,5551101.6827,89632.0,89632.0,2.322569444444444,414.77366255144034,0.0683,8875.305760695515
2015-03-01,0.394733442857143,10.514984554542,46684376316.8603,46684376316.8603,13.97061238,348103.940130333,348103.940130333,979660.080977565,3521634341.4473686,21995935.986486487,979660.080977565,230566.0,253.5,13892048.684210526,1419374.385,88728.0,88728.0,2.322569444444444,413.7037037037037,0.0661,9519.18588311147
2015-03-02,0.408546310126582,10.2029402046927,46684376316.8603,46684376316.8603,15.3940228,348103.940130333,348103.940130333,1277153.04012241,3571905728.767007,21995935.986486487,1277153.04012241,221621.0,257.05,13895762.414965987,2491829.8475,104937.0,104937.0,2.322569444444444,412.63374485596705,0.0661,9494.56648263789
2015-03-03,0.40633882278481,10.5348447280809,46684376316.8603,46684376316.8603,15.6440078,357386.711867142,357386.711867142,1356751.04799536,3834520105.1840277,21995935.986486487,1356751.04799536,218185.0,275.87,13899735.763888888,4966115.1855,110981.0,110981.0,2.322569444444444,411.56378600823047,0.0661,9722.479004355364
2015-03-04,0.40170845,10.7283875769157,46684376316.8603,46684376316.8603,14.53469909,364348.790669749,364348.790669749,1150222.61728387,3885601686.0153847,21995935.986486487,1150222.61728387,200738.0,279.47,13903466.153846154,5868456.3844,98529.0,98529.0,2.322569444444444,410.4938271604938,0.0661,9886.109640169645
2015-03-05,0.476900128787879,8.71545344393545,46684376316.8603,46684376316.8603,14.89058476,264558.994499053,264558.994499053,1112274.88396849,3755674481.2190084,21995935.986486487,1112274.88396849,210532.0,270.06,13906815.082644628,3872538.873,101115.0,101115.0,2.322569444444444,409.42386831275724,0.0661,7159.738293725033
2015-03-06,0.391679885135135,11.0529534347324,46684376316.8603,46684376316.8603,16.76618435,366669.483603951,366669.483603951,1069815.36294775,3799051563.4010415,21995935.986486487,1069815.36294775,190781.0,273.11,13910334.895833334,3126380.2963,93869.0,93869.0,2.322569444444444,408.3539094650206,0.0661,9897.213621049901
2015-03-07,0.387500642857143,10.6551770623899,46684376316.8603,46684376316.8603,13.06858102,327217.703722513,327217.703722513,1093338.37354889,3789316239.576923,21995935.986486487,1093338.37354889,213542.0,272.34,13913917.307692308,1868628.2292,91505.0,91505.0,2.322569444444444,407.28395061728395,0.0661,8809.18131145379
2015-03-08,0.351908474358974,12.4502853977086,46684376316.8603,46684376316.8603,13.21540516,362028.097735547,362028.097735547,1263093.90388293,3850454367.091837,21995935.986486487,1263093.90388293,219897.0,276.66,13917640.306122448,1578384.0324,87527.0,87527.0,2.322569444444444,406.2139917695473,0.0661,9720.724082988285
2015-03-09,0.446213833333333,10.1045589160869,47427554950.6483,47427554950.6483,15.72043904,311208.023870146,311208.023870146,1228704.25963725,3828386438.9534883,21995935.986486487,1228704.25963725,213987.0,275.0,13921405.232558139,1221588.5,105536.0,105536.0,2.322569444444444,405.1440329218107,0.0661,8334.157282699793
2015-03-10,0.400507157894737,11.4024863384889,47427554950.6483,47427554950.6483,15.35729233,356003.118215091,356003.118215091,1339461.47266863,3996637634.0881295,21995935.986486487,1339461.47266863,202831.0,287.01,13925081.474820144,3438431.4618,105541.0,105541.0,2.322569444444444,404.0740740740741,0.0661,9508.592766812262
2015-03-11,0.407319136363636,11.6333935618532,47427554950.6483,47427554950.6483,15.32225806,391367.666382153,391367.666382153,1368494.2516486,4039374572.6950355,21995935.986486487,1368494.2516486,202784.0,290.0,13928877.836879432,3811441.0,100765.0,100765.0,2.322569444444444,403.00411522633743,0.0661,10425.475765835228
2015-03-12,0.461840526717557,10.4225794580287,47427554950.6483,47427554950.6483,14.00767054,313565.660414617,313565.660414617,1094308.30761627,4131818612.580645,21995935.986486487,1094308.30761627,191013.0,296.56,13932487.903225806,1989294.824,97095.0,97095.0,2.322569444444444,401.93415637860085,0.0661,8330.764721329968
2015-03-13,0.373348184931507,11.2370934638314,47427554950.6483,47427554950.6483,13.70402241,327711.479681442,327711.479681442,1124821.81863606,4109702271.818182,21995935.986486487,1124821.81863606,196893.0,294.9,13935918.181818182,2332853.634,96036.0,96036.0,2.322569444444444,400.8641975308642,0.0661,8683.411535326539
2015-03-14,0.394160946564886,11.0354009869636,47427554950.6483,47427554950.6483,12.34936058,315923.296959088,315923.296959088,1051243.33341914,3973146952.137097,21995935.986486487,1051243.33341914,221145.0,285.03,13939399.193548387,2697971.4171,89511.0,89511.0,2.322569444444444,399.79423868312756,0.0661,8348.71515474047
2015-03-15,0.35026772027972,11.9749129809229,47427554950.6483,47427554950.6483,11.9740388,346572.572037208,346572.572037208,1111367.7239335,3934657122.5,21995935.986486487,1111367.7239335,219686.0,282.2,13942796.323529411,1555762.956,84934.0,84934.0,2.322569444444444,398.7242798353909,0.0661,9134.154036871128
2015-03-16,0.430460215827338,9.4831717165831,47427554950.6483,47427554950.6483,15.13383473,308850.387325675,308850.387325675,1044154.1050261,3999672556.6875,21995935.986486487,1044154.1050261,215332.0,286.79,13946345.955882354,697043.095,105218.0,105218.0,2.322569444444444,397.65432098765433,0.0661,8118.117178984389
2015-03-17,0.4114915625,10.4943702455141,47427554950.6483,47427554950.6483,14.10203756,337142.025859325,337142.025859325,1118080.70032732,4035371367.6694217,21995935.986486487,1118080.70032732,189410.0,289.28,13949707.438016528,1882917.7344,99561.0,99561.0,2.322569444444444,396.5843621399177,0.0661,8837.917373742283
2015-03-18,0.377621640522876,11.597482330365,47427554950.6483,47427554950.6483,15.16419516,332426.752770383,332426.752770383,1320674.89785264,3969403948.4,21995935.986486487,1320674.89785264,192033.0,284.48,13953191.607142856,1833379.7216,99607.0,99607.0,2.322569444444444,395.5144032921811,0.0661,8690.799495058176
2015-03-19,0.457138248175183,9.13400066850744,47427554950.6483,47427554950.6483,16.48516776,337142.025859325,337142.025859325,1038892.10203537,3586770931.6933594,21995935.986486487,1038892.10203537,191319.0,256.99,13956850.1953125,5561780.1499,106297.0,106297.0,2.322569444444444,394.44444444444446,0.0661,8790.229119779991
2015-03-20,0.408021779411765,8.80755178826618,47427554950.6483,47427554950.6483,16.0965401,332426.752770383,332426.752770383,945367.378745339,3649072123.7727275,21995935.986486487,945367.378745339,196439.0,261.39,13960259.090909092,3927810.8157,103532.0,103532.0,2.322569444444444,393.3744855967078,0.0661,8643.778209682767
2015-03-21,0.34546717218543,11.6027337670962,47427554950.6483,47427554950.6483,13.25657744,337142.025859325,337142.025859325,1202959.83423877,3659926535.910714,21995935.986486487,1202959.83423877,209563.0,262.1,13963855.535714285,1489959.87,92836.0,92836.0,2.322569444444444,392.30452674897117,0.0661,8742.5408658177
2015-03-22,0.390491661971831,10.1050598793418,47427554950.6483,47427554950.6483,13.13911317,313565.660414617,313565.660414617,978614.418954976,3631404955.6413045,21995935.986486487,978614.418954976,229566.0,259.99,13967479.347826088,1202219.759,90586.0,90586.0,2.322569444444444,391.2345679012346,0.0661,8108.997666190642
2015-03-23,0.416135572413793,9.90556013450523,47427554950.6483,47427554950.6483,17.57202944,358360.754759562,358360.754759562,1149817.6092931,3740751761.25,21995935.986486487,1149817.6092931,217678.0,267.75,13971061.666666666,1583288.7525,106019.0,106019.0,2.322569444444444,390.16460905349794,0.0661,9242.081097916232
2015-03-24,0.292805329479769,12.9731277279311,46717549644.7064,46717549644.7064,13.68366895,387831.112208752,387831.112208752,1247262.44601875,3717222832.760479,21995935.986486487,1247262.44601875,182247.0,265.99,13975047.305389222,2315865.8741,92927.0,92927.0,2.322569444444444,389.0946502057613,0.0661,9974.689023383575
2015-03-25,0.312553851851852,10.7975056447263,46717549644.7064,46717549644.7064,15.77234281,385508.770219478,385508.770219478,1106539.1759772,3424926789.7727275,21995935.986486487,1106539.1759772,186186.0,245.0,13979293.019480519,4619359.85,97138.0,97138.0,2.322569444444444,388.0246913580247,0.0661,9887.69551645285
